,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.024873757362365724,0.01366233600863892,0.0010064601898193359,0.00021477002337972595,1,{'max_depth': 1},0.09892496457358779,-0.033307809691002555,0.047833617605240686,-0.4258734657935196,-0.005010675604929848,0.12204736075823991,0.10762523469506641,0.06595306761127318,0.03442487320513887,0.07437376203701213,0.008699092939610697,0.15210695981646252,13
1,0.04917640686035156,0.025977592032195962,0.001141357421875,0.00024455724127355036,2,{'max_depth': 2},0.15967267557682535,0.04920296478545144,0.19731538540930643,-0.531122487598433,0.16395262479435113,0.19774204348265656,0.20376598471701934,0.22869582982982045,0.1813367896219717,0.12289358842429632,0.09734553990432657,0.21493483087251525,9
2,0.06801364421844483,0.03725339436099422,0.0011531352996826173,0.0005755085054136115,3,{'max_depth': 3},0.13860894708074795,0.03199892385546865,0.2799335790297185,-0.6245592148091016,0.25601286828502595,0.25875878800491914,0.29168737313789844,0.2863210960085815,0.2220041086939199,0.21147254602914284,0.13522390153163216,0.2644588459707292,6
3,0.08856291770935058,0.04868018626892924,0.0011046171188354493,0.00018805143420916364,4,{'max_depth': 4},0.061879771589121835,0.05876955764045333,0.293421104963005,-0.16752617978946882,0.28149389569881234,0.2823615643037118,0.3205899275012076,0.30063531386124787,0.2505564240627003,0.2408887109939254,0.19230700908247167,0.14985203634188576,4
4,0.10561237335205079,0.057677650271346435,0.0010851621627807617,0.00022048207831713878,5,{'max_depth': 5},0.06175969838902906,0.18273259909581913,0.32186121873011986,0.005378099417532645,0.2932120145523204,0.298028889955114,0.332980132465091,0.313798447185145,0.26834027818757794,0.2400543236281863,0.23181457016059354,0.10826883383234107,2
5,0.12272112369537354,0.06780578323527092,0.0011200666427612304,0.0002168286216320644,6,{'max_depth': 6},0.04090895903085345,0.14870565110476763,0.32463037663004674,0.0006581462531787263,0.3431062388318726,0.3139641145565794,0.3334047859478918,0.32014813861023106,0.2797356931140323,0.2560831030954115,0.23613452071748653,0.12056395043226485,1
6,0.1414111375808716,0.07654160280553887,0.0014372587203979493,0.0008319907361651876,7,{'max_depth': 7},0.02047401286792827,0.12389145654447903,0.3113026347792448,-0.030713300021545764,0.3038143972779918,0.3059917128023145,0.34161000198088687,0.3152109529096113,0.2590972742270143,0.24701391107182114,0.2197693054439746,0.12679596351327133,3
7,0.1564345359802246,0.08547823782049208,0.0011968612670898438,0.00017706948360961104,8,{'max_depth': 8},-0.021849187909707746,-0.010545194848678219,0.29823586320645495,-0.5966868154461472,0.29496435289297596,0.24901318712717652,0.33520818074480585,0.3161018671901177,0.21359382228178847,0.24972749594934074,0.1327763571188127,0.2717637501119767,8
8,0.17361702919006347,0.09792600639079097,0.001479768753051758,0.0007210920889125338,9,{'max_depth': 9},-0.020412858642761544,-0.03741490055219482,0.27077774077831923,-0.15011170056382322,0.2589512602184142,0.25096124880599946,0.3145984141201339,0.3232566390769749,0.2049945921712557,0.2335092346181029,0.16491096700304206,0.159927503158868,5
9,0.18671822547912598,0.1019210205942007,0.0012059211730957031,0.0002228416208418758,10,{'max_depth': 10},-0.046010004907576396,-0.11845651856350442,0.2500036805110396,-0.18821693617836038,0.19167946167715366,0.24188213553886706,0.2868281611845913,0.3122883565941516,0.18175139103462812,0.2279516853361161,0.13397014122271061,0.17164913909133941,7
10,0.2126413106918335,0.11342719463045099,0.0013509035110473634,0.0003021056645362221,11,{'max_depth': 11},-0.06485034190879652,-0.3182723178565231,0.23070549051365213,-0.23719118999436595,0.169981749816777,0.20970827694182181,0.26434483356372274,0.30039822372568614,0.11500204198257857,0.1966467089494015,0.08664734757339544,0.2061052956736789,10
11,0.21670644283294677,0.1156453812347852,0.0012740135192871095,0.00025788079606363915,12,{'max_depth': 12},-0.05294644076796717,-0.39340810195559456,0.18876011955395633,-0.29957279793698743,0.14007580537906478,0.18835344439948543,0.24049314159274215,0.2849763431290163,0.08898626518394481,0.1849267019438977,0.05706444805215584,0.2206008048504035,11
12,0.2270258903503418,0.12484826484495375,0.0012725830078125,0.00023730574295057952,13,{'max_depth': 13},-0.11307383037269392,-0.46657820675283934,0.15895664951711252,-0.36390375573158806,0.05216274793755482,0.19238345861535577,0.25909520879856646,0.26670766097955756,0.02331234225612616,0.16073489862254142,0.016979717386969344,0.2428303502392409,12
13,0.2406846523284912,0.13271500993809607,0.0014290571212768554,0.00025574631995339164,14,{'max_depth': 14},-0.10165023054721045,-0.5245813418564795,0.11997770904211846,-0.4667432529535127,-0.015438534776163304,0.1481565060889669,0.1968598943919836,0.22633637406903656,-0.0006645289974726576,0.12970951413704596,-0.028803789140168724,0.2526779286574667,14
14,0.2514394760131836,0.13732246788282432,0.0013693571090698242,0.00022369307926933655,15,{'max_depth': 15},-0.12664373633341686,-0.6111621039858617,0.0922046606039062,-0.4810294516138376,-0.05424263561842879,0.11421993585516571,0.18820776038844078,0.19190525634906674,-0.055909945819125284,0.11283292144991253,-0.0629617338724178,0.26342027687528874,15
15,0.26219279766082765,0.14547774315984505,0.0014950037002563477,0.0003365083314504605,16,{'max_depth': 16},-0.13839355792066615,-0.7222568660407793,0.06743072934309602,-0.5193334263859419,-0.08859694229672072,0.09199227828024592,0.18712170781366744,0.16564809047447293,-0.07087684670400235,0.08953434288966777,-0.09377304905469604,0.28617018851798626,16
16,0.27231225967407224,0.15193834908852855,0.0014352083206176757,0.00024808156142386154,17,{'max_depth': 17},-0.14879834118835,-0.6648681375546815,0.007221180870792598,-1.0520202858591783,-0.12848863906267416,0.09314295032097902,0.15627263784129686,0.14642738890795082,-0.11126765817046019,0.11100007490131492,-0.159137882899301,0.3759640038297953,18
17,0.2829368829727173,0.15895561409656253,0.0014920949935913086,0.00021297778472041933,18,{'max_depth': 18},-0.1446146201468605,-0.7100732189005764,-0.022467336820074735,-0.6372390479639052,-0.16690893315714084,0.05772490057147739,0.14811139982674626,0.12383099388530944,-0.12760542145533155,0.07807857121924466,-0.14011627129411114,0.28743891873013006,17
18,0.2974597454071045,0.17118800824917174,0.0017795085906982422,0.0004319256650215284,19,{'max_depth': 19},-0.12782520937259528,-0.7808315697303658,-0.02682325084306031,-1.0491050471267147,-0.21204958436378785,0.03559577304829248,0.13964676669403636,0.10021524824241312,-0.09542020389933825,0.07738655402407879,-0.19392105233270412,0.37976235470687425,19
